galaxy,n_points,distance_mpc,low_point_fit,log10_M200,log10_rs,M200,rs,chi2_red,success,status,nfev,hit_lower_mass,hit_upper_mass,hit_lower_rs,hit_upper_rs
UGC08550,11,6.7,False,10.398453876827071,0.6447108881231127,25029598136.014973,4.412765896541209,0.7636141222000065,True,2,9,False,False,False,False
UGC08699,41,39.3,False,11.717754921879449,1.0558009416364995,522101477082.67,11.371059751790684,0.9707361267479644,True,2,7,False,False,False,False
UGC08837,8,7.21,False,11.48570967866228,1.9999999999822797,305991722703.75226,99.99999999591975,4.365679544922976,True,3,11,False,False,False,True
UGC09037,22,83.6,False,12.223207546639184,1.9999999999997846,1671889409004.6365,99.9999999999504,7.538624455827085,True,2,9,False,False,False,True
UGC09133,68,57.1,False,12.233360470133984,1.4318151681138593,1711435239496.905,27.028078282169467,5.61852884785422,True,2,7,False,False,False,False
UGC11455,36,78.6,False,12.841631364770253,1.9999999999999905,6944346215348.074,99.9999999999978,5.054565413926552,True,2,9,False,False,False,True
UGC11557,12,24.2,False,11.362643629060392,1.9999999999999762,230485510740.2399,99.99999999999453,1.518432766498865,True,2,10,False,False,False,True
UGC11820,10,18.1,False,11.170073131240722,1.3060839775633681,147935747753.94708,20.234103985870437,0.9501389791885031,True,2,10,False,False,False,False
UGC11914,65,16.9,False,11.601828110810516,0.5853141440777333,399786487155.82324,3.8487007463811214,4.29647004600977,True,2,12,False,False,False,False
UGC12506,31,100.6,False,12.018524127115912,1.012500891103541,1043576106714.8464,10.292026389531845,0.1675618420095334,True,2,8,False,False,False,False
UGC12632,15,9.77,False,10.769473542485079,0.93025552363264,58813028375.51492,8.516389653049425,0.34060891747618427,True,2,9,False,False,False,False
UGC12732,16,13.2,False,11.172606370348932,1.1554270280041077,148801178338.52716,14.30299635633852,0.2087057733824034,True,2,7,False,False,False,False
UGCA442,8,4.35,False,11.487598286398221,1.5750918534380531,307325280300.40295,37.59169024403482,1.5339009769615464,True,2,10,False,False,False,False
UGCA444,36,0.98,False,11.91847882024228,1.9999999999999993,828855493501.6049,99.99999999999984,0.06280879085848673,True,3,15,False,False,False,True
